,v_a(t)
0,0.04434601909092372
1,0.0710383423389885
2,0.05172624667022129
3,0.05831079015449885
4,0.07791371172942173
5,0.06256355501700635
6,0.06347704382090871
7,0.041557154002733646
8,0.03914325367125482
9,0.03170106281574486
10,0.011215796292960819
11,0.02774144622924732
12,0.042630922980025944
13,0.025395798213906536
14,0.020895707839493762
15,0.03801341781072746
16,0.0533932942344978
17,0.06828407211567775
18,0.07956875938792521
19,0.079171350754286
20,0.0719111916562238
21,0.08266954464785232
22,0.08072022621990803
23,0.1014695013854994
24,0.10991244055863914
25,0.10905338298136467
26,0.10025931309702041
27,0.09906921430291027
28,0.09322791613581886
29,0.07201543538959583
30,0.07938645885111477
31,0.07080373199237192
32,0.08023025179941856
33,0.09586131829722735
34,0.10000896126075508
35,0.08418807983125491
36,0.12059574515574469
37,0.09095682134737512
38,0.10566995005402098
39,0.11171445408037073
40,0.13609810599342415
41,0.1321635614054387
42,0.14795345719355912
43,0.12055556609206504
44,0.09716504474994532
45,0.1127943134862563
46,0.11870117402101403
47,0.13711982769462192
48,0.16216889167707454
49,0.16669850207485792
50,0.1685116392269103
51,0.1742018219961955
52,0.14868087851285552
53,0.1705438160818034
54,0.1719125983084508
55,0.1937025860947168
56,0.2003566132322449
57,0.21322087930832312
58,0.2304529959810921
59,0.24144737669328914
60,0.2441126617212609
61,0.24700353440392922
62,0.22258123849026376
63,0.24712551011996853
64,0.24180597884742805
65,0.26932445021717344
66,0.288449840161552
67,0.2804504522840624
68,0.2987405929235147
69,0.30621392482063636
70,0.32234857732729266
71,0.30124991681707386
72,0.31509463120745135
73,0.332003716519664
74,0.32244957886703857
75,0.30370986566841857
76,0.2911195395307536
77,0.3065964414292095
78,0.30320514525474573
79,0.29896317392899036
80,0.2694155754185879
81,0.2884647412716803
82,0.31282526315488385
83,0.29666032559285066
84,0.3065394957652465
85,0.3028182718705613
86,0.31104010760786877
87,0.3022176884260813
88,0.30759485211684545
89,0.3112878302133932
90,0.30444695179652986
91,0.2885348990358396
92,0.28500310330558953
93,0.2964675009570081
94,0.3024775065843021
95,0.3024182418215233
96,0.32205944509176493
97,0.3070058712420245
98,0.32455729754623375
99,0.3228343507155835
100,0.3354085731514837
101,0.3310331204879037
102,0.3506544505852549
103,0.36784939936223826
104,0.386929202004695
105,0.39525515780152987
106,0.41060899392025424
107,0.37692925958680157
108,0.3866750314246865
109,0.4118520643703057
110,0.4028066591192395
111,0.4173012272096812
112,0.4239932434268679
113,0.4043913919440774
114,0.4003701796367853
115,0.4189569965998881
116,0.4332086382991192
117,0.4182335011357787
118,0.4188201597389916
119,0.419304337560499
120,0.4017907228696855
121,0.38216513615374037
122,0.39450172489318425
123,0.40544382094327075
124,0.41048905319004514
125,0.4390860539971237
126,0.41534211050640707
127,0.4223987387210446
128,0.4299387804584055
129,0.4430759957377826
130,0.4430146179402148
131,0.45507858109621097
132,0.46182459800403663
133,0.46385362892021215
134,0.4452780437080986
135,0.4500223616807409
136,0.45861225673185746
137,0.4562223343066306
138,0.4408366329703805
139,0.45332073217805957
140,0.4828677544755962
141,0.4838727447953287
142,0.4828374928346815
143,0.4842072469708152
144,0.49513805090253693
145,0.4814141514675023
146,0.478299480995682
147,0.4927527664460918
148,0.4886852155624944
149,0.4879332618450668
150,0.5045562578856291
151,0.5170706436947157
152,0.5100939794442199
153,0.5119509412197929
154,0.5001919106775468
155,0.5012602720613335
156,0.48337463929328983
157,0.4763424403426444
158,0.4569930453003479
159,0.4737233881295931
160,0.46291566369427983
161,0.45262268408075734
162,0.4572012232722334
163,0.4329755610110762
164,0.412046888334473
165,0.41597213237912234
166,0.43560115719511966
