,v_a,eta,error
0,1.0,0.0,
1,0.9981090028796679,0.20689655172413793,3.4727514537442304e-05
2,0.9924195153901408,0.41379310344827586,0.00013645147084746366
3,0.9831832725304904,0.6206896551724138,0.00027928032845605713
4,0.9701440752507431,0.8275862068965517,0.0004737874987090154
5,0.9535025150043225,1.0344827586206897,0.000724804623374892
6,0.9337662714922713,1.2413793103448276,0.0010653195359905715
7,0.9092725297081025,1.4482758620689655,0.001513538223194253
8,0.8837697636245817,1.6551724137931034,0.0017154088474656299
9,0.8540490605999193,1.8620689655172413,0.002605033518639347
10,0.8213784221921869,2.0689655172413794,0.002851818914545452
11,0.7878575433608713,2.2758620689655173,0.0036210628164317525
12,0.7489073515637835,2.4827586206896552,0.004113894868858519
13,0.7101797291740544,2.689655172413793,0.004637247564459123
14,0.6682801800590756,2.896551724137931,0.0050903468518705116
15,0.6236574344572248,3.103448275862069,0.005511504341428597
16,0.5803916676383417,3.310344827586207,0.007108458864169902
17,0.5328695186505334,3.5172413793103448,0.007460056539970667
18,0.4848530891326616,3.7241379310344827,0.007950903911447704
19,0.43238334674929096,3.9310344827586206,0.010316251057990807
20,0.38729610023474115,4.137931034482759,0.009127710273017151
21,0.32290220772707995,4.344827586206897,0.010512751276259445
22,0.26465102442606336,4.551724137931035,0.009697142693147741
23,0.23783027230960824,4.758620689655173,0.0102870134297352
24,0.19647223479221104,4.9655172413793105,0.008766159975235926
25,0.17674731413658895,5.172413793103448,0.00867777972882404
26,0.15965065090515504,5.379310344827586,0.008858143488706708
27,0.1545472932075303,5.586206896551724,0.00870015852342478
28,0.14633022427046644,5.793103448275862,0.006384873669781023
29,0.14253884487342297,6.0,0.007921808951009779
