,v_a(t)
0,0.06263474514656005
1,0.08274835863869187
2,0.12172672465086806
3,0.15696554436869495
4,0.20151153202044453
5,0.1994164155092807
6,0.19695449846801755
7,0.20170872660625014
8,0.22817667582389214
9,0.23749607736042952
10,0.2513762521465657
11,0.25715465176704644
12,0.2585121655992983
13,0.24870423311727521
14,0.23935410782929434
15,0.2606842683367998
16,0.2576279157814287
17,0.2568324747514852
18,0.2719380771489598
19,0.28080894260065736
20,0.2785167147059914
21,0.27568350343201553
22,0.28424498549021326
23,0.2712961523680146
24,0.2423172507346277
25,0.26350170236525045
26,0.2793860263427578
27,0.2703363955707078
28,0.2580847680363779
29,0.28178192866920376
30,0.27910382056737537
31,0.24044135277115747
32,0.24256724303769603
33,0.22137724912368592
34,0.23426498862489056
35,0.24698111301700013
36,0.2363382018055941
37,0.2223532949027602
38,0.23514474624388534
39,0.2073036088602572
40,0.20824550201009587
41,0.19788482522758236
42,0.19272736921870803
43,0.17011818085306968
44,0.18908751237821741
45,0.16568360994005882
46,0.15803204809721366
47,0.15978930043246842
48,0.16435704399981338
49,0.1427857217979288
50,0.14579304663402726
51,0.15347323905023086
52,0.16862779958460197
53,0.15581721256842168
54,0.18650712841589198
55,0.18020018171069094
56,0.17326507608641983
57,0.1523921956467956
58,0.16824103555435388
59,0.15890937781840025
60,0.15126736652191106
61,0.19309863846420838
62,0.21782887263257725
63,0.22223234785372434
64,0.2256045759245897
65,0.21917349457568738
66,0.23394149984450507
67,0.25080839067621935
68,0.22790407830096202
69,0.24485508864328887
70,0.25406725579156253
71,0.2439476834527924
72,0.2386074515340536
73,0.23746798349416112
74,0.24090088155733236
75,0.2409239651154806
76,0.2574777262910883
77,0.2365765255533797
78,0.23250263439776647
79,0.21210148443986848
80,0.20098020575907993
81,0.1855963173604464
82,0.18135582664978736
83,0.20260327610769283
84,0.22228522112179142
85,0.2269904804738492
86,0.20085336903461457
87,0.1934255290612334
88,0.14895754217515222
89,0.17484061263229142
90,0.1431563549232122
91,0.12186486608902909
92,0.09854205899091588
93,0.09993769488268062
94,0.07846049643575286
95,0.1035588580879161
96,0.07881306261951468
97,0.0925262410032318
98,0.06414116605613535
99,0.07210958185885337
100,0.06502835575580021
101,0.0827039952919245
102,0.08799561839740509
