,v_a,eta,error
0,0.9990759948261407,0.0,0.0003400390251759499
1,0.9835888596143796,0.20689655172413793,0.0048887093056524025
2,0.9901795939730833,0.41379310344827586,0.0009044958240271206
3,0.9796496892716597,0.6206896551724138,0.0002877777400253628
4,0.9633281020758611,0.8275862068965517,0.0006372566032009943
5,0.9413528624990466,1.0344827586206897,0.0009428803043364752
6,0.9187278212977142,1.2413793103448276,0.0011606480178087551
7,0.8871938638779072,1.4482758620689655,0.0013147970345298726
8,0.8481944272500253,1.6551724137931034,0.0025620476273365837
9,0.8191429246431492,1.8620689655172413,0.002230253016821496
10,0.7716804600703393,2.0689655172413794,0.0035954253195123777
11,0.7356502053156533,2.2758620689655173,0.0033907856597663543
12,0.6856177767605289,2.4827586206896552,0.0034780098647304468
13,0.6381571357045105,2.689655172413793,0.0042100480323630516
14,0.5838255950533187,2.896551724137931,0.004920757174451653
15,0.5084098193461299,3.103448275862069,0.0065142192051698845
16,0.449528571006997,3.310344827586207,0.005865587562508337
17,0.3938104677994009,3.5172413793103448,0.0066267645263476576
18,0.31878417890261235,3.7241379310344827,0.007732254242674428
19,0.2511192181989803,3.9310344827586206,0.00832718784599354
20,0.16587611637904826,4.137931034482759,0.008127966311712226
21,0.1253825374964708,4.344827586206897,0.006465625378557435
22,0.09615465798189868,4.551724137931035,0.0045059383958547935
23,0.07505909988824251,4.758620689655173,0.0037084300370371854
24,0.06556943818263758,4.9655172413793105,0.0033024062504061306
25,0.058719677033462,5.172413793103448,0.002885054546519941
26,0.05110359732855021,5.379310344827586,0.0027436249181306905
27,0.0480201969268622,5.586206896551724,0.0023966628882988454
28,0.04566982974176323,5.793103448275862,0.002238286559073047
29,0.044989635245484515,6.0,0.002395722769139197
