,v_a(t)
0,0.004233248050000282
1,0.02469698918559875
2,0.056442857414720334
3,0.069730641365259
4,0.0675225550956717
5,0.05832189675288035
6,0.056277654934571056
7,0.045213444186041514
8,0.03957039584582307
9,0.04695678574598592
10,0.06167703817325557
11,0.06280531124335043
12,0.07198616374918221
13,0.07609274862661952
14,0.08272090861621718
15,0.09952683853362855
16,0.09631947359982576
17,0.11604310751206101
18,0.11351773101034682
19,0.13224484566286634
20,0.13301559144119923
21,0.14477561837116618
22,0.16356361751416598
23,0.17927180352736416
24,0.18917561958463958
25,0.20068501369697977
26,0.21716475360935308
27,0.24410277051130394
28,0.2509051912127709
29,0.2432509805939343
30,0.24806664714319943
31,0.24795622495525393
32,0.2439717034075262
33,0.25251878892631546
34,0.27752327655245196
35,0.291456658313338
36,0.3009997023756491
37,0.3210140508500831
38,0.315847604023892
39,0.3255654414395601
40,0.3244836139897782
41,0.32118614845172394
42,0.31509362963634185
43,0.32555489365540025
44,0.3428018527636348
45,0.34631275620599955
46,0.35534966827830916
47,0.36577532830626225
48,0.3512021209596048
49,0.36582878311561806
50,0.372036522657889
51,0.36901751800659366
52,0.38372452135318524
53,0.3897918174355641
54,0.3831232492159974
55,0.38892582202758597
56,0.3787518970042428
57,0.3960648595791246
58,0.37454179519205316
59,0.3681365863697663
60,0.3762112431030936
61,0.3821013535210918
62,0.38764361202795794
63,0.38908805343591735
64,0.39329059464390564
65,0.3959634490133766
66,0.39101918603488667
67,0.3947587030059499
68,0.39263770243120744
69,0.4036894883004519
70,0.4053927939956673
71,0.40030645341042
72,0.40002502218131264
73,0.4044178129575837
74,0.4029802357373238
75,0.40079880527465184
76,0.419490906398633
77,0.42691611407883895
78,0.44391750419285586
79,0.4384814617668562
80,0.4480922960558522
81,0.446180447424664
82,0.4318275094189171
83,0.4370762457816868
84,0.4228922021933108
85,0.4266688565990383
86,0.4381757681696859
87,0.414237245211117
88,0.4407188709099149
89,0.4417024681067117
90,0.43964527177814083
91,0.4470987971266272
92,0.44064870522777955
93,0.4463520908873161
94,0.4575854576480066
95,0.46410510484814754
96,0.475080613097986
97,0.4716520214694788
98,0.4692731225886454
99,0.47486331462048237
100,0.48764229041303314
101,0.5099326871529664
102,0.4964589713924754
103,0.503236422871226
104,0.5066625782575951
105,0.5068513788392537
106,0.49582815862468177
107,0.5006294960454223
