,v_a(t)
0,0.1231919991490956
1,0.10130782916357202
2,0.10816491243427466
3,0.13732828060575594
4,0.10733342131528094
5,0.13314806706777382
6,0.0790689624043577
7,0.07633859676776222
8,0.09633162371466265
9,0.11592338170713971
10,0.1305565857989446
11,0.12400602017709643
12,0.13441618643380268
13,0.11353189473755979
14,0.16933472973264166
15,0.08031934416783124
16,0.0436094930285522
17,0.20263533950696705
18,0.2154083001092839
19,0.12771952261590036
20,0.19889856574679907
21,0.15834292245998052
22,0.14500560980638616
23,0.15685942216076293
24,0.2976708028913556
25,0.21361352358540509
26,0.1562282601448524
27,0.2330700392917366
28,0.24422761373848798
29,0.3283609562628315
30,0.3008943483703726
31,0.33463048447767096
32,0.3874803232552855
33,0.36392971482895936
34,0.24783676094521118
35,0.2837960174581053
36,0.30895921486770667
37,0.31399311285694437
38,0.2615498479735647
39,0.34094319955103586
40,0.4124937275071995
41,0.31549305996886373
42,0.3169657852427085
43,0.3383215125601818
44,0.2693090159185815
45,0.20656167369872125
46,0.20379034583139707
47,0.19936592642377782
48,0.12752225888712973
49,0.054738872460960666
50,0.14697621676263195
51,0.19565745199434215
52,0.0902442612478104
53,0.132101323058628
54,0.19379368519487686
55,0.13384574534819296
56,0.1625931674575389
57,0.048654182762104044
58,0.08348246745582064
59,0.10546121842748546
60,0.026872306495934868
61,0.0882619057673948
62,0.07742894906355281
63,0.09096830321618508
64,0.10557678170262971
65,0.18472958220115218
66,0.1872200386448267
67,0.12489206080633121
68,0.18387182022824589
69,0.2374190009771196
70,0.15843340104004675
71,0.0823747031622678
72,0.1950012838287313
73,0.13230737283818222
74,0.05317174166188026
75,0.09902311039909016
76,0.16972656977601716
77,0.14663827630139914
78,0.07420556529262672
79,0.09150095785371161
80,0.08024080178905171
81,0.10580836968384189
82,0.0849135935159572
83,0.15234429274321545
84,0.09786572501441812
85,0.08879416823606862
86,0.026145741423640456
87,0.06735652669801256
88,0.11360711539929735
89,0.1642781898342255
90,0.12516464371497515
91,0.12031295725142058
92,0.025909861717143323
93,0.12486079083264222
94,0.09845519190455757
95,0.1812438557762605
96,0.07085056756800581
97,0.0941797159657745
98,0.10503913463171237
99,0.14355958083094808
100,0.13507034324240189
101,0.08150796758599871
102,0.04415561038295436
103,0.0676253492900897
104,0.12574472415186705
105,0.18486368847061577
106,0.1443132005662068
107,0.16919188093496348
108,0.19852997128421843
109,0.1617856603889143
110,0.205402178697361
111,0.22561601787035548
112,0.2284936236391882
113,0.1565306571436382
114,0.18284107397209473
115,0.17566332855567104
116,0.18061045187804842
117,0.30442433454924794
118,0.19486889604841598
119,0.12230101070957053
120,0.06172972333111299
121,0.1582948468513227
122,0.2452011001942631
123,0.20583002328004135
124,0.10519539711431147
125,0.14611510902428207
126,0.23186832303622748
127,0.18324999209140766
128,0.20549967407664108
129,0.11945608203761378
130,0.08710477820242082
131,0.15275383134579176
132,0.157134423693532
133,0.21198444577770023
134,0.21577777775150733
135,0.23089653544091446
136,0.3535552055983087
137,0.24978316282710047
138,0.15656475761089686
139,0.108681116707257
140,0.0982499759218974
141,0.02336307887559619
142,0.033562470496706825
143,0.03497006476786013
144,0.1467216091700728
145,0.16753241965408053
146,0.1831743789336333
147,0.19303746392304114
148,0.09280728904006694
149,0.17156610571869882
150,0.17319165473632267
151,0.18861585901802513
152,0.23689932241834147
153,0.27307440283631595
154,0.24258803802054757
155,0.1474134001530733
156,0.18961126469422587
157,0.21157886404628315
158,0.13818628077069614
159,0.07196232157093917
160,0.07040115317338357
161,0.14505492824342808
162,0.25063898824734354
163,0.18784225584973674
164,0.14781128368186772
165,0.1399395526900554
166,0.18234830190144297
167,0.06554474051692286
168,0.18996630230368536
169,0.28328864236062673
170,0.3099366402835558
171,0.2687795564704054
172,0.19173152205079197
173,0.1385853443559739
174,0.24753929552700268
175,0.2936189176322975
176,0.2660614802111994
177,0.19606065090325508
178,0.19003325477565233
179,0.2525454317058895
180,0.18078372085843247
181,0.17191733402791481
182,0.13514641307680858
183,0.19149055379112867
184,0.17817263718905582
185,0.21441334932569311
186,0.30756905078882724
187,0.2440132214949313
188,0.2593780236319931
189,0.14524180973349393
190,0.07194904257406615
191,0.2195338053344638
192,0.11941939645981212
193,0.1127491576029882
194,0.15094781844738597
195,0.28042423545604817
196,0.2822009670864625
197,0.20459325005652296
198,0.11941364114800138
199,0.09314456700509828
200,0.1452440733792348
201,0.1325822756265432
202,0.07308779108399419
203,0.14924701191049752
204,0.161075279965762
205,0.15882917894607618
206,0.1725544849162909
207,0.11940370456608923
208,0.1158106802541416
209,0.12517621642717047
210,0.07103994455002148
211,0.1517667915963939
212,0.1917645277947346
213,0.04608407232732664
214,0.016379691321853462
215,0.0848412310191226
216,0.047304539157598274
217,0.10286363893548507
218,0.1193565099395049
219,0.22845484534944496
220,0.23312989862221328
221,0.17659899486543973
222,0.2560198674051796
223,0.29994185975187865
224,0.3004908374109154
225,0.3801695046123211
226,0.3333928907599163
227,0.31024110848188274
228,0.267749484035584
229,0.25006083171215937
230,0.17506669444997514
231,0.1448074527351907
232,0.07924926181911097
233,0.17791624095982783
234,0.22689208144715073
235,0.05975134124856012
236,0.04766044427243427
237,0.007853783017711342
238,0.029086315850681856
239,0.08204812440633803
240,0.07337124540884113
241,0.12190482146802908
242,0.17396616608003318
243,0.13421740512534458
244,0.1465971895295355
245,0.14180736911695244
246,0.12662098529409727
247,0.12777945018133569
248,0.12036400832973095
249,0.08519557289420181
250,0.09133600294961589
251,0.13200985259650236
252,0.26959307096909924
253,0.27128088158681474
254,0.21453258673060513
255,0.22539118181271034
256,0.32404193739753634
257,0.37241364814051275
258,0.24695152112466268
259,0.23095296883345398
260,0.28792164733884484
261,0.2751812150787265
262,0.2943471292709496
263,0.2893642609363977
264,0.2223783353389995
265,0.21320079862784042
266,0.21061469967661664
267,0.1817904388105624
268,0.21696546769988798
269,0.1396074766858574
270,0.13803322364776519
271,0.158018992224255
272,0.07311964854214757
273,0.11671772066354516
274,0.15690537326227746
275,0.2713588226490941
276,0.26694702653250185
277,0.3359053008430526
278,0.39955951229606185
279,0.2597276782009448
280,0.3749118715001257
281,0.3488831756963395
282,0.2881416349524765
283,0.34796095830728285
284,0.34524959960739815
285,0.3329849654191273
286,0.2556642101000852
287,0.3076054330452126
288,0.38452020637824147
289,0.3646589971646557
290,0.2486582511605704
291,0.3325389925945834
292,0.41748271982249824
293,0.4230242784044706
294,0.46023737985700225
295,0.4538595671633436
296,0.4323655615726675
297,0.47085381819667843
298,0.43827462901488945
299,0.43095269133015657
300,0.3505756398512503
301,0.33324435107377537
302,0.30996402224854486
303,0.3870547981446224
304,0.35605802753242893
305,0.4219959697132229
306,0.3349743364245173
307,0.34493726590011337
308,0.3728862486020345
309,0.4134737337379741
310,0.39529050260377807
311,0.46130299555646953
312,0.3575739548377312
313,0.33869135439501946
314,0.3111444493220749
315,0.2555993613344797
316,0.28263796492513127
317,0.3372346858179173
318,0.33394534140758736
319,0.17895656096940055
320,0.22569631956807396
321,0.12513123981026333
322,0.15368533550734115
323,0.20553753780612977
324,0.20059943693057236
325,0.2605041320882159
326,0.3295961022641497
327,0.3716090546558983
328,0.33290075838350114
329,0.28514650630348587
330,0.21657501828001038
331,0.23492159713966773
332,0.2785317312788265
333,0.2624054008347148
334,0.2713032812993907
335,0.21711396167456679
336,0.2092696272077299
337,0.183630354572333
338,0.19085897713347938
339,0.09264769308586696
340,0.17111393627548255
341,0.3055819050073252
342,0.27065257422884537
343,0.2091745558661221
344,0.20141869555242353
345,0.2637702698647904
346,0.21052604882204018
347,0.20654825096783636
348,0.19337655879189103
349,0.08232993529180578
350,0.15944680345207446
351,0.17681954274593878
352,0.20189832245478526
353,0.19824033045148912
354,0.21328702720430712
355,0.2085623371337252
356,0.09636930167611148
357,0.1711538719254154
358,0.16808697165887906
359,0.1658485965047285
360,0.1247792205167204
361,0.15132479764337997
362,0.17975008697228545
363,0.22737927880243022
364,0.33481759390949556
365,0.30038808553061624
366,0.2503999320421376
367,0.2601864033313225
368,0.38671603323685083
369,0.38952415620501013
370,0.33012289760507973
371,0.3031918221035881
372,0.3437221732986429
373,0.3512180459397522
374,0.32005204837912327
375,0.26468337278174014
376,0.3073005114881432
377,0.2842686464214541
378,0.2479066236151435
379,0.14638756862643998
380,0.19916011188120827
381,0.20861762849787077
382,0.2387597504366562
383,0.16514882279175208
384,0.20753114523106614
385,0.19198203305068834
386,0.13129943551611425
387,0.08429387548064186
388,0.1760125645875511
389,0.3081688769608911
390,0.2400863712580651
391,0.1665275389648933
392,0.1967129160495685
393,0.23091400900755496
394,0.1405835664309164
395,0.21278221534013908
396,0.1222493779131501
397,0.013065075357866001
398,0.04389265345264551
399,0.055224718263911336
400,0.21344795905138672
401,0.3285244488210903
402,0.43454349288899696
403,0.4278229407770262
404,0.4135860928856293
405,0.3470205427854712
406,0.365291860707414
407,0.23779637973188297
408,0.2368358028975159
409,0.16685276089948348
410,0.1511355598175964
411,0.12393876070844179
412,0.10686204397202001
413,0.0874953215590387
414,0.04590892550408895
415,0.08238858586453814
416,0.22315460333040396
417,0.22101608861420274
418,0.2484666470782521
419,0.330218805871264
420,0.291220139660744
421,0.19799184264316644
422,0.17929288309084884
423,0.19104874502253044
424,0.17461627688317424
425,0.19700766969148298
426,0.2222688515813012
427,0.17219988905855255
428,0.20459610310755463
429,0.2686470777278904
430,0.24774913208888732
431,0.30720593844701016
432,0.2250884683758674
433,0.3180615478631141
434,0.31960659468465424
435,0.32454022607685645
436,0.35640188179191196
437,0.3413741050040089
438,0.25879128830248377
439,0.18949853865914548
440,0.2540922180261412
441,0.21565684942248559
442,0.2937779717925651
443,0.26053933586909156
444,0.16313235332157086
445,0.15529940965356867
446,0.21779512974129153
447,0.26992974368762773
448,0.2389707045572724
449,0.23067404142157472
450,0.3595478203789837
451,0.2869854932856855
452,0.24312682385474738
453,0.21119870208526303
454,0.19761854619954594
455,0.0703830650911586
456,0.10838179664220444
457,0.2048703881469757
458,0.15496635921806776
459,0.20139726412440673
460,0.2215203516844586
461,0.26556550223517766
462,0.27908097416410965
463,0.25092228320563825
464,0.2257124962695865
465,0.2781128122285532
466,0.2572468281963107
467,0.2191454889950374
468,0.214912755259998
469,0.2933665636702092
470,0.2264389384005698
471,0.184070144542705
472,0.07536920313567201
473,0.06305535514037619
474,0.07794319745591695
475,0.21478822773002815
476,0.14997417539281488
477,0.11710824704466825
478,0.1194083163830608
479,0.04920059647530807
480,0.08082961378282597
481,0.10037014898778673
482,0.14410375676811016
483,0.12108831488309424
484,0.03464567499142971
485,0.098229639611807
486,0.05660946324073431
487,0.032097885770289374
488,0.089597577840506
489,0.07123617362579852
490,0.06951927007503073
491,0.12273859600119025
492,0.14668243722953045
493,0.20661459270478422
494,0.20842763444967521
495,0.19551575909437804
496,0.26010149789591763
497,0.23456049255543399
498,0.1711264670811306
499,0.15828384392138067
500,0.13381806589589618
501,0.17356318149812738
502,0.16622204818200043
503,0.14685215924974973
504,0.15671520935212552
505,0.1407570801926789
506,0.09640399284427867
507,0.19892625979006642
508,0.12851409724159307
509,0.08338918214302894
510,0.08175622136252148
511,0.04839426563309087
512,0.08418908206270775
513,0.12255491753309189
514,0.1740316080967087
515,0.19388973002428087
516,0.16370249006856225
517,0.22296859936500377
518,0.14133503919512513
519,0.20018693132393323
520,0.1830880209408072
521,0.10864925824640648
522,0.11699061038581804
523,0.006038008317841199
524,0.038569016115831835
525,0.05107999111091266
526,0.19617878491401658
527,0.15328312669205094
528,0.26510537580248145
529,0.09471589225741145
530,0.1128130917228869
531,0.034595937447095715
532,0.02703782199736386
533,0.09098269207574629
534,0.0499556901027795
535,0.014505325410248954
536,0.0717630166775724
537,0.09533451296201524
538,0.12339806095179519
539,0.09471430556547276
540,0.08865743014693467
541,0.12101672115356836
542,0.13100735391710966
543,0.11359327144734456
544,0.1413980339207118
545,0.20403007838191817
546,0.11953095757191487
547,0.110407259098397
548,0.14054707330689442
549,0.1593763451767821
550,0.17976744954258164
551,0.1394626771185173
552,0.2178954194563645
553,0.21942098964301449
554,0.12301158731658801
555,0.08426495377403469
556,0.1107980099212298
557,0.08216498303824793
558,0.1616356189675746
559,0.10429383865927243
560,0.11070927308618292
561,0.07675473913644854
562,0.03668451948137637
563,0.031069229748821033
564,0.07371934894814598
565,0.16776246311916282
566,0.15677702892956666
567,0.12305381828222736
568,0.13744797674830184
569,0.22914010233696297
570,0.18753708927217497
571,0.22357885801232372
572,0.14902321691029874
573,0.10447653469284555
574,0.2217947087248697
575,0.14587320530058026
576,0.12890693977584403
577,0.274919787299869
578,0.23210027664203742
579,0.2737347481485604
580,0.2795490282705119
581,0.3527883880231378
582,0.3672026146575406
583,0.2756837745338323
584,0.34149832407168973
585,0.27069656078019294
586,0.327431166921081
587,0.2461886216107798
588,0.18390378620162603
589,0.010557440994888914
590,0.1207341080526838
591,0.15912954446032496
592,0.14681960563756222
593,0.14611996632170565
594,0.1774060333334384
595,0.14538664637378265
596,0.09679529211109694
597,0.1090064847051841
598,0.04810854860002914
599,0.06131797576499953
600,0.12308252301016051
601,0.1509402857322936
602,0.14691368382851464
603,0.1629833684119681
604,0.1327123977381668
605,0.15516660174166957
606,0.09946985186667397
607,0.30233382491353095
608,0.3290932842353028
609,0.35712262370496983
610,0.34394692705068586
611,0.24179221266380765
612,0.27302616205023544
613,0.28004319572576153
614,0.24938644498869392
615,0.2756300551109409
616,0.28115499053008997
617,0.18003294180176724
618,0.23756509512301044
619,0.3154961740449314
620,0.2489244735926167
621,0.3250785612216113
622,0.32156479269815724
623,0.3194087934329503
624,0.29244451201878796
625,0.23198968982624057
626,0.14222385962104045
627,0.2180171413143627
628,0.21782383324744142
629,0.24825446053393546
630,0.2900997002248209
631,0.28006613635606903
632,0.34977089178375714
633,0.39941853512836156
634,0.3068955664330464
635,0.2914151312872245
636,0.2796448959654539
637,0.29435913841493494
638,0.25176657890217075
639,0.19079885224783982
640,0.2794950417113967
641,0.29106002586509794
642,0.3042745571305213
643,0.2982844404152214
644,0.326170215057053
645,0.32002502340659744
646,0.25325928729139247
647,0.16701123667203488
648,0.19978266681935944
649,0.16231932340175284
650,0.15934945618822957
651,0.17652634644625612
652,0.28424938604959477
653,0.3627864887822612
654,0.32524884830917533
655,0.37156277599225346
656,0.3687768159241668
657,0.3389107558799123
658,0.3084250924413649
659,0.3005516316316649
660,0.35310084678402315
661,0.2992061788266509
662,0.29689505862304033
663,0.24459549389946902
664,0.26534856908653237
665,0.22676593504648873
666,0.23459516632467023
667,0.2753284164000309
668,0.2673791401110783
669,0.41029622870175436
670,0.4063213670397673
671,0.3572011387409923
672,0.25637960064177057
673,0.23363730015321812
674,0.3230887873530219
675,0.2708165996657345
676,0.29026705000555114
677,0.2613665310390963
678,0.2208641181713379
679,0.24496917682209501
680,0.3262724740106748
681,0.2641583412884238
682,0.2901434134602336
683,0.31614459595910976
684,0.33540587924508974
685,0.3281679747904308
686,0.3048958578019098
687,0.3200799708728056
688,0.26656904996993214
689,0.10716632668772567
690,0.04148724372437571
691,0.050658878784197
692,0.10665347759082444
693,0.06905643642403259
694,0.060854260486474986
695,0.1415750589545188
696,0.18206002580899303
697,0.20790176983228922
698,0.21792597953303142
699,0.23796122668718936
700,0.23977017109679796
701,0.3958532450805482
702,0.31412093634335364
703,0.1897298947199117
704,0.11539849711420701
705,0.15791182384121136
706,0.07944329580608407
707,0.042432992326684286
708,0.13243416401539826
709,0.149433082379148
710,0.14703155278683347
711,0.08428774703958172
712,0.11585387889416474
713,0.1489133451015601
714,0.02656107210818299
715,0.09393746745592306
716,0.15440291228944678
717,0.21094214511506418
718,0.16613953534046505
719,0.16143090940322308
720,0.03423672253093587
721,0.0723868872521798
722,0.15386653550267224
723,0.129913126086204
724,0.2107549449446467
725,0.2328693553220169
726,0.30319740619147567
727,0.30995613301104197
728,0.28633700014523034
729,0.27387233205431455
730,0.4504338199992276
731,0.3770439600966275
732,0.3534076960986995
733,0.4305229577908514
734,0.4278043230544688
735,0.36263571427074537
736,0.27927240071011156
737,0.28076764196287934
738,0.14133085475331736
739,0.14425199732321034
740,0.13730429841944353
741,0.07429337673952073
742,0.11646271130536595
743,0.1435930971770481
744,0.2035885700902054
745,0.15264477306837745
746,0.20495839784076808
747,0.28718418509230764
748,0.2729992909588316
749,0.34102329997956876
750,0.3536725042987643
751,0.32691698361732163
752,0.33298754461621516
753,0.2832977922536519
754,0.2596179935557748
755,0.267464096126857
756,0.24540373181473596
757,0.23505610915247213
758,0.1558388157781824
759,0.1697775453617058
760,0.2198864043035317
761,0.23691783279792847
762,0.2594147530442034
763,0.3438711728596818
764,0.33251658045613786
765,0.25156748311348837
766,0.21907740124698882
767,0.1513354072398767
768,0.13118365711716531
769,0.21120248262597102
770,0.20989805358293687
771,0.07173076406400196
772,0.04887923270768396
773,0.10010859990900633
774,0.06667387939068847
775,0.06430686940858586
776,0.028969941256075674
777,0.07375843747223765
778,0.1706309839646418
779,0.15069708903406728
780,0.18083650756582703
781,0.2772290605009239
782,0.31339130019617056
783,0.30352119482859063
784,0.09128483561278938
785,0.14253686575037147
786,0.00972272635445455
787,0.08987436478079916
788,0.11261118578885519
789,0.1887402154970721
790,0.25306225450254316
791,0.24272107620174954
792,0.17176358498172264
793,0.2373223833946879
794,0.17593892339556708
795,0.26718226628903996
796,0.2905143311483618
797,0.31538689693971633
798,0.31281929588687857
799,0.26987626031032225
800,0.2629845543938299
801,0.1901293111208657
802,0.23160933125568597
803,0.21892951420278178
804,0.28554456240462267
805,0.25041055826492253
806,0.34091190493806095
807,0.20797440658437746
808,0.13383379779161572
809,0.24147446829797606
810,0.2616966850011515
811,0.25232413697448075
812,0.17323008587955374
813,0.22008916264204154
814,0.19007717540839772
815,0.24593015681484634
816,0.31662846484581364
817,0.32809085844871516
818,0.2095688439783805
819,0.22980734619196655
820,0.18053571158861853
821,0.19414017732936784
822,0.11985996004809761
823,0.08651887987534883
824,0.08455465888639103
825,0.11294980685416948
826,0.07902222437804479
827,0.11685147874263806
828,0.19756030195752686
829,0.22108751421426973
830,0.3269567403582532
831,0.2600394112352738
832,0.2589187695314822
833,0.21766038395066176
834,0.19475890826794798
835,0.18808967782914862
836,0.19472280903857772
837,0.1389016992248525
838,0.2100333256981688
839,0.09812471648662224
840,0.13616580932248115
841,0.10562993006215718
842,0.06414620939147976
843,0.07383864489685325
844,0.10505243309208381
845,0.11400102152767898
846,0.1323210416111736
847,0.1253082426693816
848,0.1138746531524614
849,0.06449760545631528
850,0.14648226381594034
851,0.19407866726880627
852,0.19836093878683744
853,0.20893183010676258
854,0.21589953001398124
855,0.16524579557579255
856,0.1198202862608012
857,0.1598124529464774
858,0.11687364998755316
859,0.07813445440307701
860,0.1264758123125336
861,0.08283535235679691
862,0.1364522772894794
863,0.1290034827275732
864,0.04925734068107659
865,0.09280940930659536
866,0.1255323969585177
867,0.010294323980629684
868,0.05213039624050046
869,0.1332506756889506
870,0.20632521174519763
871,0.14000313087529512
872,0.12394646093292486
873,0.06924900093810359
874,0.06872136241991121
875,0.020578995664653005
876,0.06563289457852664
877,0.11651476255135088
878,0.009100693213180768
879,0.05611227371820525
880,0.18731268660709077
881,0.14843136632547668
882,0.16111898513635217
883,0.15021659716960004
884,0.19626556224928277
885,0.23326149958401152
886,0.3025262583423013
887,0.2451529795982262
888,0.29828077071905484
889,0.3098283141985196
890,0.2735471518379245
891,0.2749080565168722
892,0.27024796562319875
893,0.38733054079133383
894,0.4008403928558012
895,0.30828856566308344
896,0.3236043103485059
897,0.26979752672062035
898,0.2963014169436121
899,0.13311270372563086
900,0.18553798777940397
901,0.2782532366815384
902,0.21850861474579278
903,0.10811068825792662
904,0.11587590166791548
905,0.19256898486470994
906,0.18426936749436615
907,0.28066302086663875
908,0.29145477260195757
909,0.38770788754366775
910,0.33002617838616616
911,0.3106421586938079
912,0.2702722644747367
913,0.15233796739446892
914,0.06981472787611005
915,0.08449119866390296
916,0.06279054361712286
917,0.08127239206930835
918,0.12594835598480839
919,0.03116863540577268
920,0.028018286278280707
921,0.1538234921166113
922,0.13891024014238895
923,0.17295715803570627
924,0.23722095810723431
925,0.19180479298943678
926,0.15686876804756783
927,0.15562165356240207
928,0.22512126153316697
929,0.20428200125653304
930,0.145712729861894
931,0.15394272124819883
932,0.2750297849992712
933,0.27147994887062543
934,0.24826189040928764
935,0.2987763537962163
936,0.27816055491205016
937,0.2910760500311821
938,0.25701820237146616
939,0.2966551022208771
940,0.33115322549112725
941,0.394170889594969
942,0.3987043910731075
943,0.3723286059404172
944,0.37372971647254954
945,0.3674452184084038
946,0.41139780192502035
947,0.3196823388274094
948,0.329291340142596
949,0.30676757089546675
950,0.29844808984498145
951,0.2756950025642633
952,0.28823459070296775
953,0.21690792682904939
954,0.19713349311567074
955,0.17417965381241904
956,0.15952520410224846
957,0.14426442067588363
958,0.06370733308545297
959,0.05235702003707225
960,0.128720607147992
961,0.0794301152237441
962,0.04469373528581133
963,0.21912773016095827
964,0.04924307159095064
965,0.017088347530027873
966,0.0648697788274247
967,0.06574167076965165
968,0.06312546264833975
969,0.09727837026689896
970,0.1264705063566716
971,0.12707708552387068
972,0.07770043316673497
973,0.06136925405319591
974,0.16260997206811992
975,0.2886817057208674
976,0.1921698684345717
977,0.13975522409221813
978,0.19072931169891005
979,0.15773283298706928
980,0.19726105543566758
981,0.14303408766470194
982,0.14547309227254387
983,0.052780512056812535
984,0.05100979098487452
985,0.11503935155047047
986,0.0679253894324825
987,0.08244564841006272
988,0.04430206850992035
989,0.04022167575648236
990,0.07774881172505423
991,0.13253986363347342
992,0.05410670203222077
993,0.03580395284550559
994,0.01743588654515787
995,0.05527514882622965
996,0.13468929139657698
997,0.12158449751370845
998,0.10456012701396045
999,0.13412029368202827
1000,0.17894426941850483
1001,0.11026852322089341
1002,0.1880063444141669
1003,0.13422040318947528
1004,0.2082418108105159
1005,0.2554722494871303
1006,0.19737171818705446
1007,0.22476078620402712
1008,0.22909627226936083
1009,0.3022267533905534
1010,0.2837260265776231
1011,0.32668439616049255
1012,0.24592623221498588
1013,0.3118780040850088
1014,0.18467018685342973
1015,0.2836502896426604
1016,0.3624847308329051
1017,0.3586209183565286
1018,0.3342602766271067
1019,0.2592931531284554
1020,0.25839278192080073
1021,0.3143942652456462
1022,0.2759146932909556
1023,0.3202774751499063
1024,0.30855187133739626
1025,0.3348941284521507
1026,0.2964457886408691
1027,0.2913286449531906
1028,0.1954777544917913
1029,0.2997237323941704
1030,0.2621416035768718
1031,0.20300822241869323
1032,0.19895376354293648
1033,0.18932429116655936
1034,0.27784052035522466
1035,0.27585246885326997
1036,0.35812766798258727
1037,0.3350483857328618
1038,0.33931614940465177
1039,0.3707860804943936
1040,0.3488883447718063
1041,0.2521051247269869
1042,0.17425698861815916
1043,0.22789320970081675
1044,0.1782243408925285
1045,0.1791766709207033
1046,0.22567819137573586
1047,0.23267622538568702
1048,0.17464968410798154
1049,0.15309806983608518
1050,0.20616229522809518
1051,0.28772108181472283
1052,0.201292081894127
1053,0.15700844475954262
1054,0.1798306136844299
1055,0.21861260406839153
1056,0.08003571463988382
1057,0.03648861188410866
1058,0.12309386492486424
1059,0.15365441975748034
1060,0.17893050972366478
1061,0.1718205573850266
1062,0.16027378727912536
1063,0.06631948846624688
1064,0.046612591163705634
1065,0.08331447174808095
1066,0.15006711259024647
1067,0.08612500274017237
1068,0.12459188174557759
1069,0.11084119505321564
1070,0.14214584733991484
1071,0.1703660415889018
1072,0.22929777108788046
1073,0.27656196896021074
1074,0.22962413350812477
1075,0.28153729227432955
1076,0.13534005823499962
1077,0.042274651327703354
1078,0.04965903356799769
1079,0.01192273363830161
1080,0.08959358774934224
1081,0.02462654913114508
1082,0.0836873053876365
1083,0.019749224181429253
1084,0.030339932285573183
1085,0.010226926142432315
1086,0.035059898634427204
1087,0.03990346345157179
1088,0.0402918740773084
1089,0.07470555344311987
1090,0.052571632010110086
1091,0.07690950436861804
1092,0.07917525628132493
1093,0.030156246697055668
1094,0.1196524713846982
1095,0.12456365126665733
1096,0.054749436729568765
1097,0.09278794513318964
1098,0.10871235373992946
1099,0.23445868895227356
1100,0.3086079721140723
1101,0.3393497903276021
1102,0.2335373317528194
1103,0.3246255160601821
